Rank,Feature_label,Score,X,Y,Z,type,num,from_chemscore,source
1,R12,-2.58,19.7824,19.1457,-7.5278,R,11,0,HBond+PhobEn+PhobEnPairHB
2,D7,-1.64,22.0809,19.5526,-9.7624,D,6,0,HBond+PhobEnPairHB
3,R13,-0.74,24.8552,18.5096,-8.2324,R,12,0,RingChemscoreHphobe
4,A5,-0.35,17.2913,18.2399,-3.8248,A,4,0,HBond
5,H10,-0.05,21.5546,18.5929,-3.028,H,9,0,PhobEn
